depth	p=0.6	p=0.8	p=1.0
1	0.14265965251658325	0.6272546174056788	1
2	0.2567873745298499	0.8084615068784303	1
3	0.3846104231847085	0.9099373649831712	1
4	0.5124334718395671	0.9606752940355416	1
5	0.6293002591811522	0.9838697758880538	1
6	0.7286370284214995	0.9937274306753714	1
7	0.8081064438137773	0.9976704925902985	1
8	0.8685031995119085	0.9991688561179707	1
9	0.9124281127469129	0.9997137155825788	1
10	0.9431755520114161	0.9999044163951917	1
