p	z_0	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	
0.5 1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
0.6 1.0	0.8288609603224694	0.7364028618842733	0.6641680008572945	0.6034010417859025	0.5506251290702074	0.5039803397466073	0.46230130258754576	0.42478226028546107	0.39082773644938973	0.3599763240066036	
0.7 1.0	0.627749109982254	0.44571709952398386	0.32458410182048136	0.2391268577972392	0.17735231136094531	0.13211116871353545	0.09871249872696986	0.07392439570088272	0.05545720175749047	0.04166047996897937	
0.8 1.0	0.41589941269644637	0.20392850912716853	0.10324162253072988	0.05299784479695124	0.02741554005309743	0.014250610363794491	0.00743191273205146	0.0038850709098573466	0.0020345663201654096	0.001066952797483367	
0.9 1.0	0.2045872739427823	0.05097789283933851	0.013172241678896524	0.0034552434664854026	0.0009136821879278667	0.00024280274536281343	6.473531692730017e-05	1.7299804186965417e-05	4.6311639726459575e-06	1.2414021748341497e-06	
1.0 1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
