x	z=1, a=10	z=1, a=11	z=1, a=12	z=2, a=10	z=2, a=11	z=2, a=12	z=3, a=10	z=3, a=11	z=3, a=12	z=4, a=10	z=4, a=11	z=4, a=12	z=5, a=10	z=5, a=11	z=5, a=12	z=6, a=10	z=6, a=11	z=6, a=12
1.64	3.92	4.0	4.04	7.76	7.92	8.04	11.39	11.72	11.92	14.64	15.26	15.68	17.41	18.48	19.18	19.31	21.12	22.32
1.68	3.78	3.86	3.86	7.49	7.61	7.72	11.0	11.27	11.47	14.23	14.74	15.09	16.95	17.93	18.56	18.88	20.53	21.64
1.72	3.66	3.7	3.74	7.22	7.33	7.4	10.65	10.88	11.07	13.83	14.28	14.58	16.55	17.38	17.94	18.51	20.02	20.97
1.76	3.52	3.56	3.6	7.01	7.08	7.15	10.31	10.53	10.68	13.44	13.84	14.09	16.12	16.89	17.36	18.12	19.5	20.37
1.8	3.43	3.46	3.46	6.79	6.86	6.93	10.01	10.22	10.33	13.05	13.44	13.65	15.75	16.42	16.83	17.74	19.0	19.81
1.84	3.31	3.35	3.35	6.59	6.66	6.69	9.74	9.91	10.01	12.71	13.05	13.25	15.38	15.99	16.36	17.41	18.56	19.27
1.88	3.21	3.24	3.24	6.38	6.45	6.48	9.49	9.62	9.72	12.4	12.7	12.86	15.02	15.58	15.91	17.08	18.13	18.75
1.92	3.14	3.14	3.17	6.22	6.28	6.32	9.24	9.36	9.43	12.09	12.35	12.51	14.7	15.2	15.49	16.76	17.74	18.31
1.96	3.05	3.05	3.08	6.07	6.11	6.14	9.0	9.13	9.19	11.84	12.06	12.18	14.4	14.83	15.11	16.43	17.36	17.85
2.0	2.97	2.97	3.0	5.91	5.94	5.97	8.79	8.88	8.94	11.55	11.76	11.88	14.1	14.49	14.73	16.14	16.98	17.46
2.04	2.89	2.92	2.92	5.76	5.82	5.82	8.59	8.68	8.71	11.31	11.49	11.58	13.8	14.18	14.38	15.87	16.63	17.07
2.08	2.82	2.85	2.85	5.65	5.68	5.68	8.41	8.47	8.53	11.07	11.24	11.32	13.55	13.89	14.06	15.6	16.31	16.68
2.12	2.76	2.79	2.79	5.52	5.54	5.54	8.22	8.3	8.33	10.86	11.0	11.06	13.29	13.59	13.76	15.35	16.02	16.35
2.16	2.7	2.72	2.72	5.39	5.42	5.45	8.06	8.12	8.15	10.65	10.76	10.84	13.05	13.32	13.48	15.09	15.72	16.02
2.2	2.67	2.67	2.67	5.31	5.31	5.33	7.89	7.95	7.97	10.45	10.56	10.61	12.83	13.07	13.2	14.88	15.44	15.73
2.24	2.61	2.61	2.61	5.2	5.2	5.23	7.76	7.79	7.81	10.24	10.35	10.4	12.62	12.83	12.96	14.66	15.18	15.44
2.28	2.56	2.56	2.56	5.1	5.1	5.13	7.61	7.66	7.66	10.07	10.17	10.2	12.4	12.61	12.71	14.43	14.91	15.17
2.32	2.52	2.52	2.52	5.01	5.03	5.03	7.47	7.52	7.52	9.91	9.99	10.04	12.2	12.4	12.5	14.24	14.69	14.89
2.36	2.47	2.47	2.47	4.92	4.94	4.94	7.36	7.39	7.41	9.73	9.81	9.86	12.03	12.2	12.28	14.03	14.45	14.65
2.4	2.43	2.43	2.43	4.83	4.86	4.86	7.24	7.26	7.29	9.59	9.67	9.69	11.85	12.0	12.07	13.84	14.23	14.43
2.44	2.39	2.39	2.39	4.75	4.78	4.78	7.12	7.14	7.17	9.44	9.51	9.53	11.68	11.83	11.9	13.66	14.02	14.19
2.48	2.35	2.35	2.35	4.68	4.7	4.7	7.01	7.03	7.05	9.31	9.36	9.38	11.5	11.64	11.71	13.5	13.83	13.99
2.52	2.32	2.32	2.32	4.61	4.63	4.63	6.92	6.92	6.95	9.17	9.22	9.24	11.35	11.49	11.53	13.32	13.64	13.78
2.56	2.28	2.28	2.28	4.56	4.56	4.56	6.82	6.82	6.85	9.06	9.11	9.11	11.2	11.32	11.36	13.17	13.46	13.6
2.6	2.25	2.25	2.25	4.5	4.5	4.5	6.73	6.75	6.75	8.93	8.98	8.98	11.07	11.16	11.23	13.01	13.3	13.41
2.64	2.22	2.22	2.22	4.44	4.44	4.44	6.64	6.66	6.66	8.81	8.86	8.88	10.92	11.03	11.08	12.85	13.12	13.23
2.68	2.19	2.19	2.19	4.38	4.38	4.38	6.55	6.57	6.57	8.7	8.74	8.76	10.8	10.89	10.93	12.73	12.97	13.08
2.72	2.16	2.16	2.16	4.33	4.33	4.33	6.47	6.49	6.49	8.61	8.63	8.65	10.66	10.75	10.79	12.59	12.83	12.91
2.76	2.14	2.14	2.14	4.27	4.27	4.27	6.39	6.41	6.41	8.5	8.52	8.55	10.55	10.64	10.66	12.46	12.67	12.75
2.8	2.11	2.11	2.11	4.22	4.22	4.22	6.31	6.33	6.33	8.4	8.42	8.44	10.43	10.51	10.53	12.33	12.54	12.62
2.84	2.09	2.09	2.09	4.17	4.17	4.17	6.24	6.26	6.26	8.31	8.33	8.35	10.33	10.39	10.41	12.21	12.4	12.48
2.88	2.06	2.06	2.06	4.13	4.13	4.13	6.17	6.19	6.19	8.21	8.23	8.26	10.22	10.28	10.3	12.07	12.26	12.34
2.92	2.04	2.04	2.04	4.08	4.08	4.08	6.1	6.13	6.13	8.13	8.15	8.17	10.11	10.17	10.19	11.96	12.15	12.21
2.96	2.02	2.02	2.02	4.04	4.04	4.04	6.06	6.06	6.06	8.06	8.06	8.08	10.02	10.06	10.08	11.86	12.02	12.08
3.0	2.0	2.0	2.0	4.0	4.0	4.0	6.0	6.0	6.0	7.98	8.0	8.0	9.92	9.96	9.98	11.76	11.9	11.96
3.04	1.98	1.98	1.98	3.96	3.96	3.96	5.94	5.94	5.94	7.9	7.92	7.92	9.82	9.88	9.9	11.64	11.8	11.84
3.08	1.96	1.96	1.96	3.92	3.92	3.92	5.88	5.88	5.88	7.83	7.85	7.85	9.73	9.79	9.81	11.55	11.69	11.75
3.12	1.94	1.94	1.94	3.89	3.89	3.89	5.83	5.83	5.83	7.75	7.77	7.77	9.66	9.7	9.72	11.45	11.58	11.64
3.16	1.93	1.93	1.93	3.85	3.85	3.85	5.78	5.78	5.78	7.68	7.7	7.7	9.57	9.61	9.63	11.36	11.5	11.54
3.2	1.91	1.91	1.91	3.82	3.82	3.82	5.73	5.73	5.73	7.62	7.64	7.64	9.49	9.53	9.55	11.26	11.4	11.44
3.24	1.89	1.89	1.89	3.79	3.79	3.79	5.68	5.68	5.68	7.55	7.57	7.57	9.41	9.45	9.46	11.19	11.3	11.34
3.28	1.88	1.88	1.88	3.75	3.75	3.75	5.63	5.63	5.63	7.49	7.51	7.51	9.33	9.37	9.39	11.09	11.21	11.24
3.32	1.86	1.86	1.86	3.72	3.72	3.72	5.59	5.59	5.59	7.43	7.45	7.45	9.27	9.29	9.31	11.02	11.12	11.15
3.36	1.85	1.85	1.85	3.69	3.69	3.69	5.54	5.54	5.54	7.37	7.39	7.39	9.2	9.22	9.24	10.94	11.03	11.07
3.4	1.83	1.83	1.83	3.67	3.67	3.67	5.5	5.5	5.5	7.32	7.33	7.33	9.13	9.15	9.17	10.87	10.96	10.98
3.44	1.82	1.82	1.82	3.64	3.64	3.64	5.46	5.46	5.46	7.26	7.28	7.28	9.06	9.08	9.1	10.79	10.88	10.9
3.48	1.81	1.81	1.81	3.61	3.61	3.61	5.42	5.42	5.42	7.21	7.23	7.23	9.0	9.01	9.03	10.71	10.8	10.82
3.52	1.79	1.79	1.79	3.59	3.59	3.59	5.38	5.38	5.38	7.16	7.17	7.17	8.93	8.95	8.97	10.64	10.73	10.74
3.56	1.78	1.78	1.78	3.56	3.56	3.56	5.34	5.34	5.34	7.13	7.13	7.13	8.87	8.89	8.91	10.58	10.65	10.67
3.6	1.77	1.77	1.77	3.54	3.54	3.54	5.31	5.31	5.31	7.08	7.08	7.08	8.81	8.83	8.85	10.51	10.58	10.6
3.64	1.76	1.76	1.76	3.52	3.52	3.52	5.27	5.27	5.27	7.03	7.03	7.03	8.75	8.79	8.79	10.44	10.51	10.53
3.68	1.75	1.75	1.75	3.49	3.49	3.49	5.24	5.24	5.24	6.99	6.99	6.99	8.71	8.73	8.73	10.39	10.44	10.48
3.72	1.74	1.74	1.74	3.47	3.47	3.47	5.21	5.21	5.21	6.94	6.94	6.94	8.66	8.68	8.68	10.33	10.38	10.41
3.76	1.72	1.72	1.72	3.45	3.45	3.45	5.17	5.17	5.17	6.9	6.9	6.9	8.61	8.62	8.62	10.26	10.33	10.35
3.8	1.71	1.71	1.71	3.43	3.43	3.43	5.14	5.14	5.14	6.86	6.86	6.86	8.55	8.57	8.57	10.2	10.27	10.29
3.84	1.7	1.7	1.7	3.41	3.41	3.41	5.11	5.11	5.11	6.82	6.82	6.82	8.5	8.52	8.52	10.14	10.21	10.23
3.88	1.69	1.69	1.69	3.39	3.39	3.39	5.08	5.08	5.08	6.78	6.78	6.78	8.46	8.47	8.47	10.1	10.15	10.17
3.92	1.68	1.68	1.68	3.37	3.37	3.37	5.05	5.05	5.05	6.74	6.74	6.74	8.41	8.42	8.42	10.04	10.09	10.11
3.96	1.68	1.68	1.68	3.35	3.35	3.35	5.03	5.03	5.03	6.7	6.7	6.7	8.36	8.38	8.38	9.99	10.04	10.05
4.0	1.67	1.67	1.67	3.33	3.33	3.33	5.0	5.0	5.0	6.67	6.67	6.67	8.32	8.33	8.33	9.93	9.98	10.0
