x	z=1, a=10	z=2, a=10	z=3, a=10	z=4, a=10	z=5, a=10	z=6, a=10
2.48	2.35	4.68	7.01	9.31	11.5	13.5
2.52	2.32	4.61	6.92	9.17	11.35	13.32
2.56	2.28	4.56	6.82	9.06	11.2	13.17
2.6	2.25	4.5	6.73	8.93	11.07	13.01
2.64	2.22	4.44	6.64	8.81	10.92	12.85
2.68	2.19	4.38	6.55	8.7	10.8	12.73
2.72	2.16	4.33	6.47	8.61	10.66	12.59
2.76	2.14	4.27	6.39	8.5	10.55	12.46
2.8	2.11	4.22	6.31	8.4	10.43	12.33
2.84	2.09	4.17	6.24	8.31	10.33	12.21
2.88	2.06	4.13	6.17	8.21	10.22	12.07
2.92	2.04	4.08	6.1	8.13	10.11	11.96
2.96	2.02	4.04	6.06	8.06	10.02	11.86
3.0	2.0	4.0	6.0	7.98	9.92	11.76
3.04	1.98	3.96	5.94	7.9	9.82	11.64
3.08	1.96	3.92	5.88	7.83	9.73	11.55
3.12	1.94	3.89	5.83	7.75	9.66	11.45
3.16	1.93	3.85	5.78	7.68	9.57	11.36
3.2	1.91	3.82	5.73	7.62	9.49	11.26
3.24	1.89	3.79	5.68	7.55	9.41	11.19
3.28	1.88	3.75	5.63	7.49	9.33	11.09
3.32	1.86	3.72	5.59	7.43	9.27	11.02
3.36	1.85	3.69	5.54	7.37	9.2	10.94
3.4	1.83	3.67	5.5	7.32	9.13	10.87
3.44	1.82	3.64	5.46	7.26	9.06	10.79
3.48	1.81	3.61	5.42	7.21	9.0	10.71
3.52	1.79	3.59	5.38	7.16	8.93	10.64
3.56	1.78	3.56	5.34	7.13	8.87	10.58
3.6	1.77	3.54	5.31	7.08	8.81	10.51
3.64	1.76	3.52	5.27	7.03	8.75	10.44
3.68	1.75	3.49	5.24	6.99	8.71	10.39
3.72	1.74	3.47	5.21	6.94	8.66	10.33
3.76	1.72	3.45	5.17	6.9	8.61	10.26
3.8	1.71	3.43	5.14	6.86	8.55	10.2
3.84	1.7	3.41	5.11	6.82	8.5	10.14
3.88	1.69	3.39	5.08	6.78	8.46	10.1
3.92	1.68	3.37	5.05	6.74	8.41	10.04
3.96	1.68	3.35	5.03	6.7	8.36	9.99
4.0	1.67	3.33	5.0	6.67	8.32	9.93
